Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	Assembly Accession Genbank	FTP path genbank	Assembly Accession RefSeq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	Partition	Protein Count	PathoPhenotype
Phocaeicola vulgatus	AF04-25	Patric (microbiome)	821.0	P. vulgatus	GCA_003465695.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/465/695/GCA_003465695.1_ASM346569v1	GCF_003465695.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/465/695/GCF_003465695.1_ASM346569v1	821	Phocaeicola vulgatus	strain=AF04-25	latest	Scaffold	2018/09/06	4	4442	No Pathogenic
Bifidobacterium longum	AF04-13	Patric (microbiome)	216816.0	B. longum	GCA_003465745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/465/745/GCA_003465745.1_ASM346574v1	GCF_003465745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/465/745/GCF_003465745.1_ASM346574v1	216816	Bifidobacterium longum	strain=AF04-13	latest	Scaffold	2018/09/06	4	1961	No Pathogenic
Bifidobacterium pseudocatenulatum	AF03-28	Patric (microbiome)	28026.0	B. pseudocatenulatum	GCA_003465775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/465/775/GCA_003465775.1_ASM346577v1	GCF_003465775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/465/775/GCF_003465775.1_ASM346577v1	28026	Bifidobacterium pseudocatenulatum	strain=AF03-28	latest	Scaffold	2018/09/06	3	1932	No Pathogenic
Bifidobacterium longum	AF03-27	Patric (microbiome)	216816.0	B. longum	GCA_003465785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/465/785/GCA_003465785.1_ASM346578v1	GCF_003465785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/465/785/GCF_003465785.1_ASM346578v1	216816	Bifidobacterium longum	strain=AF03-27	latest	Scaffold	2018/09/06	4	2001	No Pathogenic
Collinsella sp. AF02-46-1	AF02-46-1	Patric (microbiome)	2292207.0	Collinsella sp. AF02-46-1	GCA_003465825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/465/825/GCA_003465825.1_ASM346582v1	GCF_003465825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/465/825/GCF_003465825.1_ASM346582v1	2292207	Collinsella sp. AF02-46-1	strain=AF02-46-1	latest	Scaffold	2018/09/06	2	1913	No Pathogenic
Anaerotruncus sp. AF02-27	AF02-27	Patric (microbiome)	2292191.0	Anaerotruncus sp. AF02-27	GCA_003465835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/465/835/GCA_003465835.1_ASM346583v1	GCF_003465835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/465/835/GCF_003465835.1_ASM346583v1	2292191	Anaerotruncus sp. AF02-27	strain=AF02-27	latest	Scaffold	2018/09/06	4	3687	No Pathogenic
Holdemanella biformis	AF10-31	Patric (microbiome)	1735.0	H. biformis	GCA_003465865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/465/865/GCA_003465865.1_ASM346586v1	GCF_003465865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/465/865/GCF_003465865.1_ASM346586v1	1735	Holdemanella biformis	strain=AF10-31	latest	Scaffold	2018/09/06	1	2475	No Pathogenic
Lactobacillus amylovorus	AF08-3	Patric (microbiome)	1604.0	L. amylovorus	GCA_003465905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/465/905/GCA_003465905.1_ASM346590v1	GCF_003465905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/465/905/GCF_003465905.1_ASM346590v1	1604	Lactobacillus amylovorus	strain=AF08-3	latest	Scaffold	2018/09/06	4	2060	No Pathogenic
Veillonella parvula	AF04-47	Patric (microbiome)	29466.0	V. parvula	GCA_003465965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/465/965/GCA_003465965.1_ASM346596v1	GCF_003465965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/465/965/GCF_003465965.1_ASM346596v1	29466	Veillonella parvula	strain=AF04-47	latest	Scaffold	2018/09/06	1	1924	No Pathogenic
Weissella confusa	AF03-13	Patric (microbiome)	1583.0	W. confusa	GCA_003466065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/065/GCA_003466065.1_ASM346606v1	GCF_003466065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/065/GCF_003466065.1_ASM346606v1	1583	Weissella confusa	strain=AF03-13	latest	Scaffold	2018/09/06	2	2267	No Pathogenic
Bifidobacterium pseudocatenulatum	AF02-36-1	Patric (microbiome)	28026.0	B. pseudocatenulatum	GCA_003466105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/105/GCA_003466105.1_ASM346610v1	GCF_003466105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/105/GCF_003466105.1_ASM346610v1	28026	Bifidobacterium pseudocatenulatum	strain=AF02-36-1	latest	Scaffold	2018/09/06	3	1760	No Pathogenic
Collinsella sp. TM10-22	TM10-22	Patric (microbiome)	2292344.0	Collinsella sp. TM10-22	GCA_003466125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/125/GCA_003466125.1_ASM346612v1	GCF_003466125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/125/GCF_003466125.1_ASM346612v1	2292344	Collinsella sp. TM10-22	strain=TM10-22	latest	Scaffold	2018/08/31	2	1848	No Pathogenic
Ruminococcus bromii	TM10-21	Patric (microbiome)	40518.0	R. bromii	GCA_003466165.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/165/GCA_003466165.1_ASM346616v1	GCF_003466165.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/165/GCF_003466165.1_ASM346616v1	40518	Ruminococcus bromii	strain=TM10-21	latest	Scaffold	2018/08/31	1	2080	No Pathogenic
Anaerobutyricum hallii	TM10-1AC	Patric (microbiome)	39488.0	A. hallii	GCA_003466185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/185/GCA_003466185.1_ASM346618v1	GCF_003466185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/185/GCF_003466185.1_ASM346618v1	39488	Anaerobutyricum hallii	strain=TM10-1AC	latest	Contig	2018/08/31	2	3506	No Pathogenic
Ruminococcus bromii	TM09-5AC	Patric (microbiome)	40518.0	R. bromii	GCA_003466205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/205/GCA_003466205.1_ASM346620v1	GCF_003466205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/205/GCF_003466205.1_ASM346620v1	40518	Ruminococcus bromii	strain=TM09-5AC	latest	Scaffold	2018/08/31	1	2110	No Pathogenic
Bifidobacterium adolescentis	TM06-51	Patric (microbiome)	1680.0	B. adolescentis	GCA_003466335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/335/GCA_003466335.1_ASM346633v1	GCF_003466335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/335/GCF_003466335.1_ASM346633v1	1680	Bifidobacterium adolescentis	strain=TM06-51	latest	Scaffold	2018/08/31	5	1818	No Pathogenic
Bifidobacterium longum	TM06-1	Patric (microbiome)	216816.0	B. longum	GCA_003466425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/425/GCA_003466425.1_ASM346642v1	GCF_003466425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/425/GCF_003466425.1_ASM346642v1	216816	Bifidobacterium longum	strain=TM06-1	latest	Scaffold	2018/08/31	4	1979	No Pathogenic
Collinsella sp. TM05-38	TM05-38	Patric (microbiome)	2292341.0	Collinsella sp. TM05-38	GCA_003466445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/445/GCA_003466445.1_ASM346644v1	GCF_003466445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/445/GCF_003466445.1_ASM346644v1	2292341	Collinsella sp. TM05-38	strain=TM05-38	latest	Scaffold	2018/08/31	2	1861	No Pathogenic
Phocaeicola dorei	TM05-24	Patric (microbiome)	357276.0	P. dorei	GCA_003466465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/465/GCA_003466465.1_ASM346646v1	GCF_003466465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/465/GCF_003466465.1_ASM346646v1	357276	Phocaeicola dorei	strain=TM05-24	latest	Scaffold	2018/08/31	4	4824	No Pathogenic
Bifidobacterium longum	TM05-14	Patric (microbiome)	216816.0	B. longum	GCA_003466505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/505/GCA_003466505.1_ASM346650v1	GCF_003466505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/505/GCF_003466505.1_ASM346650v1	216816	Bifidobacterium longum	strain=TM05-14	latest	Scaffold	2018/08/31	4	2151	No Pathogenic
Collinsella sp. TM04-9	TM04-9	Patric (microbiome)	2292339.0	Collinsella sp. TM04-9	GCA_003466525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/525/GCA_003466525.1_ASM346652v1	GCF_003466525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/525/GCF_003466525.1_ASM346652v1	2292339	Collinsella sp. TM04-9	strain=TM04-9	latest	Scaffold	2018/08/31	2	1943	No Pathogenic
Anaerobutyricum hallii	AM48-23BH	Patric (microbiome)	39488.0	A. hallii	GCA_003466615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/615/GCA_003466615.1_ASM346661v1	GCF_003466615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/615/GCF_003466615.1_ASM346661v1	39488	Anaerobutyricum hallii	strain=AM48-23BH	latest	Contig	2018/09/06	2	3196	No Pathogenic
Ruminococcus bromii	AM46-2BH	Patric (microbiome)	40518.0	R. bromii	GCA_003466725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/725/GCA_003466725.1_ASM346672v1	GCF_003466725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/725/GCF_003466725.1_ASM346672v1	40518	Ruminococcus bromii	strain=AM46-2BH	latest	Scaffold	2018/09/06	1	2149	No Pathogenic
Eubacterium ventriosum	AM44-11BH	Patric (microbiome)	39496.0	E. ventriosum	GCA_003466845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/845/GCA_003466845.1_ASM346684v1	GCF_003466845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/845/GCF_003466845.1_ASM346684v1	39496	Eubacterium ventriosum	strain=AM44-11BH	latest	Scaffold	2018/09/06	3	2244	No Pathogenic
Phocaeicola plebeius	AM43-8	Patric (microbiome)	310297.0	P. plebeius	GCA_003466905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/905/GCA_003466905.1_ASM346690v1	GCF_003466905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/905/GCF_003466905.1_ASM346690v1	310297	Phocaeicola plebeius	strain=AM43-8	latest	Scaffold	2018/09/06	3	3662	No Pathogenic
Odoribacter splanchnicus	AM43-5	Patric (microbiome)	28118.0	Odoribacter splanchnicus	GCA_003466925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/925/GCA_003466925.1_ASM346692v1	GCF_003466925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/925/GCF_003466925.1_ASM346692v1	28118	Odoribacter splanchnicus	strain=AM43-5	latest	Scaffold	2018/09/06	4	4034	No Pathogenic
Phocaeicola vulgatus	AM43-4BH	Patric (microbiome)	821.0	P. vulgatus	GCA_003466945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/945/GCA_003466945.1_ASM346694v1	GCF_003466945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/945/GCF_003466945.1_ASM346694v1	821	Phocaeicola vulgatus	strain=AM43-4BH	latest	Scaffold	2018/09/06	4	4408	No Pathogenic
Blautia obeum	AM43-41	Patric (microbiome)	40520.0	B. obeum	GCA_003466965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/965/GCA_003466965.1_ASM346696v1	GCF_003466965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/965/GCF_003466965.1_ASM346696v1	40520	Blautia obeum	strain=AM43-41	latest	Scaffold	2018/09/06	3	3469	No Pathogenic
Lachnospira eligens	AM43-40	Patric (microbiome)	39485.0	Lachnospira eligens	GCA_003466985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/466/985/GCA_003466985.1_ASM346698v1	GCF_003466985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/985/GCF_003466985.1_ASM346698v1	39485	Lachnospira eligens	strain=AM43-40	latest	Scaffold	2018/09/06	1	3143	No Pathogenic
Eubacterium ventriosum	AM43-2	Patric (microbiome)	39496.0	E. ventriosum	GCA_003467015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/015/GCA_003467015.1_ASM346701v1	GCF_003467015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/015/GCF_003467015.1_ASM346701v1	39496	Eubacterium ventriosum	strain=AM43-2	latest	Scaffold	2018/09/06	3	2366	No Pathogenic
Roseburia intestinalis	AM43-11	Patric (microbiome)	166486.0	R. intestinalis	GCA_003467035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/035/GCA_003467035.1_ASM346703v1	GCF_003467035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/035/GCF_003467035.1_ASM346703v1	166486	Roseburia intestinalis	strain=AM43-11	latest	Scaffold	2018/09/06	1	4036	No Pathogenic
Bifidobacterium pseudocatenulatum	AM43-10	Patric (microbiome)	28026.0	B. pseudocatenulatum	GCA_003467065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/065/GCA_003467065.1_ASM346706v1	GCF_003467065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/065/GCF_003467065.1_ASM346706v1	28026	Bifidobacterium pseudocatenulatum	strain=AM43-10	latest	Scaffold	2018/09/06	3	1773	No Pathogenic
Megasphaera sp. AM44-1BH	AM44-1BH	Patric (microbiome)	2292358.0	Megasphaera sp. AM44-1BH	GCA_003467125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/125/GCA_003467125.1_ASM346712v1	GCF_003467125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/125/GCF_003467125.1_ASM346712v1	2292358	Megasphaera sp. AM44-1BH	strain=AM44-1BH	latest	Scaffold	2018/09/06	5	2652	No Pathogenic
Collinsella sp. AM44-11	AM44-11	Patric (microbiome)	2292323.0	Collinsella sp. AM44-11	GCA_003467145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/145/GCA_003467145.1_ASM346714v1	GCF_003467145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/145/GCF_003467145.1_ASM346714v1	2292323	Collinsella sp. AM44-11	strain=AM44-11	latest	Scaffold	2018/09/06	2	2005	No Pathogenic
Dorea formicigenerans	AM42-8	Patric (microbiome)	39486.0	D. formicigenerans	GCA_003467175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/175/GCA_003467175.1_ASM346717v1	GCF_003467175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/175/GCF_003467175.1_ASM346717v1	39486	Dorea formicigenerans	strain=AM42-8	latest	Scaffold	2018/09/06	5	3133	No Pathogenic
Odoribacter splanchnicus	AM42-31	Patric (microbiome)	28118.0	Odoribacter splanchnicus	GCA_003467205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/205/GCA_003467205.1_ASM346720v1	GCF_003467205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/205/GCF_003467205.1_ASM346720v1	28118	Odoribacter splanchnicus	strain=AM42-31	latest	Scaffold	2018/09/06	4	3859	No Pathogenic
Phocaeicola coprophilus	AM42-38	Patric (microbiome)	387090.0	P. coprophilus	GCA_003467215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/215/GCA_003467215.1_ASM346721v1	GCF_003467215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/215/GCF_003467215.1_ASM346721v1	387090	Phocaeicola coprophilus	strain=AM42-38	latest	Scaffold	2018/09/06	3	2958	No Pathogenic
Roseburia inulinivorans	AM42-1AC	Patric (microbiome)	360807.0	R. inulinivorans	GCA_003467265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/265/GCA_003467265.1_ASM346726v1	GCF_003467265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/265/GCF_003467265.1_ASM346726v1	360807	Roseburia inulinivorans	strain=AM42-1AC	latest	Scaffold	2018/09/06	5	3841	No Pathogenic
Blautia obeum	AM41-5	Patric (microbiome)	40520.0	B. obeum	GCA_003467325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/325/GCA_003467325.1_ASM346732v1	GCF_003467325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/325/GCF_003467325.1_ASM346732v1	40520	Blautia obeum	strain=AM41-5	latest	Scaffold	2018/09/06	5	3001	No Pathogenic
Bifidobacterium adolescentis	AM41-17	Patric (microbiome)	1680.0	B. adolescentis	GCA_003467335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/335/GCA_003467335.1_ASM346733v1	GCF_003467335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/335/GCF_003467335.1_ASM346733v1	1680	Bifidobacterium adolescentis	strain=AM41-17	latest	Scaffold	2018/09/06	5	1668	No Pathogenic
Enterocloster aldenensis	AM40-2AC	Patric (microbiome)	358742.0	E. aldenensis	GCA_003467385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/385/GCA_003467385.1_ASM346738v1	GCF_003467385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/385/GCF_003467385.1_ASM346738v1	358742	Enterocloster aldenensis	strain=AM40-2AC	latest	Scaffold	2018/09/06	4	6212	No Pathogenic
Bifidobacterium longum	AM39-8AC	Patric (microbiome)	216816.0	B. longum	GCA_003467395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/395/GCA_003467395.1_ASM346739v1	GCF_003467395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/395/GCF_003467395.1_ASM346739v1	216816	Bifidobacterium longum	strain=AM39-8AC	latest	Scaffold	2018/09/06	4	1946	No Pathogenic
Dorea formicigenerans	AM40-15AC	Patric (microbiome)	39486.0	D. formicigenerans	GCA_003467405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/405/GCA_003467405.1_ASM346740v1	GCF_003467405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/405/GCF_003467405.1_ASM346740v1	39486	Dorea formicigenerans	strain=AM40-15AC	latest	Scaffold	2018/09/06	5	2919	No Pathogenic
Exiguobacterium sp. AM39-5BH	AM39-5BH	Patric (microbiome)	2292355.0	Exiguobacterium sp. AM39-5BH	GCA_003467445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/445/GCA_003467445.1_ASM346744v1	GCF_003467445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/445/GCF_003467445.1_ASM346744v1	2292355	Exiguobacterium sp. AM39-5BH	strain=AM39-5BH	latest	Contig	2018/09/06	5	3150	No Pathogenic
Blautia obeum	AM39-5AC	Patric (microbiome)	40520.0	B. obeum	GCA_003467455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/455/GCA_003467455.1_ASM346745v1	GCF_003467455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/455/GCF_003467455.1_ASM346745v1	40520	Blautia obeum	strain=AM39-5AC	latest	Scaffold	2018/09/06	5	3198	No Pathogenic
Bifidobacterium pseudocatenulatum	AM38-8	Patric (microbiome)	28026.0	B. pseudocatenulatum	GCA_003467515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/515/GCA_003467515.1_ASM346751v1	GCF_003467515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/515/GCF_003467515.1_ASM346751v1	28026	Bifidobacterium pseudocatenulatum	strain=AM38-8	latest	Scaffold	2018/09/06	3	1870	No Pathogenic
Collinsella sp. AM38-1BH	AM38-1BH	Patric (microbiome)	2292318.0	Collinsella sp. AM38-1BH	GCA_003467545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/545/GCA_003467545.1_ASM346754v1	GCF_003467545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/545/GCF_003467545.1_ASM346754v1	2292318	Collinsella sp. AM38-1BH	strain=AM38-1BH	latest	Scaffold	2018/09/06	2	1791	No Pathogenic
Phocaeicola vulgatus	AM38-19	Patric (microbiome)	821.0	P. vulgatus	GCA_003467565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/565/GCA_003467565.1_ASM346756v1	GCF_003467565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/565/GCF_003467565.1_ASM346756v1	821	Phocaeicola vulgatus	strain=AM38-19	latest	Scaffold	2018/09/06	4	4332	No Pathogenic
[Ruminococcus] gnavus	AM38-12	Patric (microbiome)	33038.0	[. gnavus	GCA_003467625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/625/GCA_003467625.1_ASM346762v1	GCF_003467625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/625/GCF_003467625.1_ASM346762v1	33038	[Ruminococcus] gnavus	strain=AM38-12	latest	Scaffold	2018/09/06	1	2966	No Pathogenic
Dorea formicigenerans	AM37-5	Patric (microbiome)	39486.0	D. formicigenerans	GCA_003467665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/665/GCA_003467665.1_ASM346766v1	GCF_003467665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/665/GCF_003467665.1_ASM346766v1	39486	Dorea formicigenerans	strain=AM37-5	latest	Scaffold	2018/09/06	5	3219	No Pathogenic
Blautia obeum	AM37-4AC	Patric (microbiome)	40520.0	B. obeum	GCA_003467675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/675/GCA_003467675.1_ASM346767v1	GCF_003467675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/675/GCF_003467675.1_ASM346767v1	40520	Blautia obeum	strain=AM37-4AC	latest	Scaffold	2018/09/06	5	3153	No Pathogenic
Lachnospira eligens	AM37-3BH	Patric (microbiome)	39485.0	Lachnospira eligens	GCA_003467705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/705/GCA_003467705.1_ASM346770v1	GCF_003467705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/705/GCF_003467705.1_ASM346770v1	39485	Lachnospira eligens	strain=AM37-3BH	latest	Scaffold	2018/09/06	1	2958	No Pathogenic
Roseburia intestinalis	AM37-1AC	Patric (microbiome)	166486.0	R. intestinalis	GCA_003467725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/725/GCA_003467725.1_ASM346772v1	GCF_003467725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/725/GCF_003467725.1_ASM346772v1	166486	Roseburia intestinalis	strain=AM37-1AC	latest	Scaffold	2018/09/06	1	3963	No Pathogenic
Bifidobacterium pseudocatenulatum	AM36-5BH	Patric (microbiome)	28026.0	B. pseudocatenulatum	GCA_003467755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/755/GCA_003467755.1_ASM346775v1	GCF_003467755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/755/GCF_003467755.1_ASM346775v1	28026	Bifidobacterium pseudocatenulatum	strain=AM36-5BH	latest	Scaffold	2018/09/06	3	1754	No Pathogenic
Collinsella sp. AM36-4AA	AM36-4AA	Patric (microbiome)	2292317.0	Collinsella sp. AM36-4AA	GCA_003467795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/795/GCA_003467795.1_ASM346779v1	GCF_003467795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/795/GCF_003467795.1_ASM346779v1	2292317	Collinsella sp. AM36-4AA	strain=AM36-4AA	latest	Scaffold	2018/09/06	2	1966	No Pathogenic
Faecalibacterium prausnitzii	AM36-18BH	Patric (microbiome)	853.0	F. prausnitzii	GCA_003467805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/805/GCA_003467805.1_ASM346780v1	GCF_003467805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/805/GCF_003467805.1_ASM346780v1	853	Faecalibacterium prausnitzii	strain=AM36-18BH	latest	Scaffold	2018/09/06	5	2722	No Pathogenic
Bifidobacterium longum	AM34-3	Patric (microbiome)	216816.0	B. longum	GCA_003467905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/905/GCA_003467905.1_ASM346790v1	GCF_003467905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/905/GCF_003467905.1_ASM346790v1	216816	Bifidobacterium longum	strain=AM34-3	latest	Scaffold	2018/09/06	4	1969	No Pathogenic
Collinsella sp. AM43-1	AM43-1	Patric (microbiome)	2292322.0	Collinsella sp. AM43-1	GCA_003467925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/925/GCA_003467925.1_ASM346792v1	GCF_003467925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/925/GCF_003467925.1_ASM346792v1	2292322	Collinsella sp. AM43-1	strain=AM43-1	latest	Scaffold	2018/09/06	2	1958	No Pathogenic
Prevotella copri	AM42-23AC	Patric (microbiome)	165179.0	P. copri	GCA_003467935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/935/GCA_003467935.1_ASM346793v1	GCF_003467935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/935/GCF_003467935.1_ASM346793v1	165179	Prevotella copri	strain=AM42-23AC	latest	Scaffold	2018/09/06	4	3574	No Pathogenic
Collinsella sp. AM42-18AC	AM42-18AC	Patric (microbiome)	2292321.0	Collinsella sp. AM42-18AC	GCA_003467965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/965/GCA_003467965.1_ASM346796v1	GCF_003467965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/965/GCF_003467965.1_ASM346796v1	2292321	Collinsella sp. AM42-18AC	strain=AM42-18AC	latest	Scaffold	2018/09/06	2	1929	No Pathogenic
