Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	assembly_accession_genbank	FTP path genbank	assembly_accession_refseq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	PathoPhenotype
Providencia alcalifaciens	PM-OXA-09	NCBI	584	P. alcalifaciens	GCA_038070575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/070/575/GCA_038070575.1_ASM3807057v1	GCF_038070575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/070/575/GCF_038070575.1_ASM3807057v1	584	Proteus mirabilis	strain=PM-OXA-09	latest	Complete Genome	2024-04-12	Pathogenic
Klebsiella pneumoniae	1253	ENA, NCBI	573	K. pneumoniae	GCA_045107215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/107/215/GCA_045107215.1_ASM4510721v1	GCF_045107215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/107/215/GCF_045107215.1_ASM4510721v1	573	Klebsiella pneumoniae	strain=1253	latest	Contig	2024-11-20	Pathogenic
Morganella morganii	dmmm372a	NCBI	582	M. morganii	GCA_040294825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/294/825/GCA_040294825.1_ASM4029482v1	GCF_040294825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/294/825/GCF_040294825.1_ASM4029482v1	582	Morganella morganii	strain=dmmm372a	latest	Contig	2024-06-24	Pathogenic
Escherichia coli	GL38-4	NCBI	562	E. coli	GCA_040537825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/537/825/GCA_040537825.1_ASM4053782v1	GCF_040537825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/537/825/GCF_040537825.1_ASM4053782v1	562	Escherichia coli	strain=GL38-4	latest	Scaffold	2024-07-07	Pathogenic
Aeromonas caviae	FUJ01756	Patric (diseases)	648	A. caviae	GCA_035203765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/203/765/GCA_035203765.1_ASM3520376v1	GCF_035203765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/203/765/GCF_035203765.1_ASM3520376v1	648	Aeromonas caviae	strain=FUJ01756	latest	Contig	2024-01-08	Pathogenic
Klebsiella pneumoniae	H1-4	NCBI	1463165	K. pneumoniae	GCA_043556085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/556/085/GCA_043556085.1_ASM4355608v1	GCF_043556085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/556/085/GCF_043556085.1_ASM4355608v1	1463165	Klebsiella quasipneumoniae	strain=H1-4	latest	Contig	2024-10-21	Pathogenic
Escherichia coli	CCBH20178	NCBI	562	E. coli	GCA_037890795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/890/795/GCA_037890795.1_ASM3789079v1	GCF_037890795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/890/795/GCF_037890795.1_ASM3789079v1	562	Escherichia coli	strain=CCBH20178	latest	Scaffold	2024-03-31	Pathogenic
Acinetobacter baumannii	SMQ-1504	NCBI	470	A. baumannii	GCA_045056105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/056/105/GCA_045056105.1_ASM4505610v1	GCF_045056105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/056/105/GCF_045056105.1_ASM4505610v1	470	Acinetobacter baumannii	strain=SMQ-1504	latest	Contig	2024-11-19	Pathogenic
Citrobacter farmeri//Citrobacter freundii	2024EL-00612	ENA, NCBI	67824	Citrobacter farmeri//Citrobacter freundii	GCA_042644085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/644/085/GCA_042644085.1_ASM4264408v1	GCF_042644085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/644/085/GCF_042644085.1_ASM4264408v1	67824	Citrobacter farmeri	strain=2024EL-00612	latest	Contig	2024-10-05	Pathogenic
Aeromonas dhakensis//Aeromonas hydrophila	FUJ01840	NCBI, Patric (diseases)	196024	Aeromonas dhakensis//Aeromonas hydrophila	GCA_035205205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/205/205/GCA_035205205.1_ASM3520520v1	GCF_035205205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/205/205/GCF_035205205.1_ASM3520520v1	196024	Aeromonas dhakensis	strain=FUJ01840	latest	Contig	2024-01-08	Pathogenic
Enterococcus faecium	P2-56	NCBI	1352	E. faecium	GCA_041196515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/196/515/GCA_041196515.1_ASM4119651v1	GCF_041196515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/196/515/GCF_041196515.1_ASM4119651v1	1352	Enterococcus faecium	strain=P2-56	latest	Scaffold	2024-08-09	Pathogenic
Aeromonas caviae	FUJ01290	Patric (diseases)	648	A. caviae	GCA_035205785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/205/785/GCA_035205785.1_ASM3520578v1	GCF_035205785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/205/785/GCF_035205785.1_ASM3520578v1	648	Aeromonas caviae	strain=FUJ01290	latest	Contig	2024-01-08	Pathogenic
Klebsiella pneumoniae	A20-1	NCBI	244366	K. pneumoniae	GCA_043556175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/556/175/GCA_043556175.1_ASM4355617v1	GCF_043556175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/556/175/GCF_043556175.1_ASM4355617v1	244366	Klebsiella variicola	strain=A20-1	latest	Scaffold	2024-10-21	Pathogenic
Klebsiella pneumoniae	CCBH6556	NCBI	573	K. pneumoniae	GCA_041949855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/949/855/GCA_041949855.1_ASM4194985v1	GCF_041949855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/949/855/GCF_041949855.1_ASM4194985v1	573	Klebsiella pneumoniae	strain=CCBH6556	latest	Contig	2024-09-17	Pathogenic
Acinetobacter baumannii	A8060	NCBI	48296	A. baumannii	GCA_041532405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/532/405/GCA_041532405.1_ASM4153240v1	GCF_041532405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/532/405/GCF_041532405.1_ASM4153240v1	48296	Acinetobacter pittii	strain=A8060	latest	Contig	2024-08-28	Pathogenic
Enterobacter asburiae	4183	NCBI	61645	E. asburiae	GCA_040015285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/015/285/GCA_040015285.1_ASM4001528v1	GCF_040015285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/015/285/GCF_040015285.1_ASM4001528v1	61645	Enterobacter asburiae	strain=4183	latest	Scaffold	2024-06-02	Pathogenic
Pseudomonas guariconensis	HY1196	Patric (diseases)	1288410	P. guariconensis	GCA_034724015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/724/015/GCA_034724015.1_ASM3472401v1	GCF_034724015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/724/015/GCF_034724015.1_ASM3472401v1	1288410	Pseudomonas guariconensis	strain=HY1196	latest	Scaffold	2023-12-27	Pathogenic
Salmonella enterica	KEMRI_2023Ky112	NCBI	2564610	S. enterica	GCA_043108045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/108/045/GCA_043108045.1_ASM4310804v1	GCF_043108045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/108/045/GCF_043108045.1_ASM4310804v1	2564610	Salmonella enterica subsp. enterica serovar Kenya	strain=KEMRI_2023Ky112	latest	Contig	2024-10-14	Pathogenic
Shewanella algae	SYCDC18SW03	NCBI, Patric (diseases)	38313	S. algae	GCA_037007005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/007/005/GCA_037007005.1_ASM3700700v1	GCF_037007005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/007/005/GCF_037007005.1_ASM3700700v1	38313	Shewanella algae	strain=SYCDC18SW03	latest	Contig	2024-03-05	Pathogenic
Aeromonas caviae	FUJ01720	Patric (diseases)	648	A. caviae	GCA_035202915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/202/915/GCA_035202915.1_ASM3520291v1	GCF_035202915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/202/915/GCF_035202915.1_ASM3520291v1	648	Aeromonas caviae	strain=FUJ01720	latest	Contig	2024-01-08	Pathogenic
Klebsiella pneumoniae	KP1806281	NCBI	573	K. pneumoniae	GCA_036236765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/236/765/GCA_036236765.1_ASM3623676v1	GCF_036236765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/236/765/GCF_036236765.1_ASM3623676v1	573	Klebsiella pneumoniae	strain=KP1806281	latest	Contig	2024-01-28	Pathogenic
Klebsiella pneumoniae	KP_NORM_BLD_13377	NCBI	1463164	K. pneumoniae	GCA_041860165.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/860/165/GCA_041860165.1_ASM4186016v1	GCF_041860165.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/860/165/GCF_041860165.1_ASM4186016v1	1463164	Klebsiella quasipneumoniae subsp. similipneumoniae	strain=KP_NORM_BLD_13377	latest	Complete Genome	2024-09-08	Pathogenic
Klebsiella pneumoniae	FFDD-570215	NCBI	244366	K. pneumoniae	GCA_964207705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/207/705/GCA_964207705.1_FFDD_570215.1	GCF_964207705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/207/705/GCF_964207705.1_FFDD_570215.1	244366	Klebsiella variicola	strain=FFDD-570215	latest	Contig	2024-07-29	Pathogenic
Escherichia coli	DJARS2	NCBI	562	E. coli	GCA_043660275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/660/275/GCA_043660275.1_ASM4366027v1	GCF_043660275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/660/275/GCF_043660275.1_ASM4366027v1	562	Escherichia coli	strain=DJARS2	latest	Contig	2024-10-23	Pathogenic
Acinetobacter baumannii	FFMG-1066-6-21-B	NCBI	48296	A. baumannii	GCA_964206715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/206/715/GCA_964206715.1_FFMG_1066-6-21-B.1	GCF_964206715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/206/715/GCF_964206715.1_FFMG_1066-6-21-B.1	48296	Acinetobacter pittii	strain=FFMG-1066-6-21-B	latest	Contig	2024-07-28	Pathogenic
Escherichia coli	EcLESPA_119	NCBI, Patric (diseases)	562	E. coli	GCA_037030305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/030/305/GCA_037030305.1_ASM3703030v1	GCF_037030305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/030/305/GCF_037030305.1_ASM3703030v1	562	Escherichia coli	strain=EcLESPA_119	latest	Contig	2024-03-05	Pathogenic
Escherichia coli	673	NCBI	562	E. coli	GCA_035609265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/609/265/GCA_035609265.1_ASM3560926v1	GCF_035609265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/609/265/GCF_035609265.1_ASM3560926v1	562	Escherichia coli	strain=673	latest	Complete Genome	2024-01-12	Pathogenic
Klebsiella pneumoniae	FFSG-66-A-Q19	NCBI	1463165	K. pneumoniae	GCA_964207805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/207/805/GCA_964207805.1_FFSG_66-A-Q19.1	GCF_964207805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/207/805/GCF_964207805.1_FFSG_66-A-Q19.1	1463165	Klebsiella quasipneumoniae	strain=FFSG-66-A-Q19	latest	Contig	2024-07-29	Pathogenic
Clostridium perfringens	RTP21428st4_H3_RTP21428_210409	NCBI	1502	C. perfringens	GCA_039753155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/753/155/GCA_039753155.1_ASM3975315v1	GCF_039753155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/753/155/GCF_039753155.1_ASM3975315v1	1502	Clostridium perfringens	strain=RTP21428st4_H3_RTP21428_210409	latest	Scaffold	2024-05-22	Pathogenic
Aeromonas veronii	FUJ01278	NCBI, Patric (diseases)	654	A. veronii	GCA_035206125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/206/125/GCA_035206125.1_ASM3520612v1	GCF_035206125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/206/125/GCF_035206125.1_ASM3520612v1	654	Aeromonas veronii	strain=FUJ01278	latest	Contig	2024-01-08	Pathogenic
Streptococcus pneumoniae	SPEC24F	NCBI	1313	S. pneumoniae	GCA_038448855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/448/855/GCA_038448855.1_ASM3844885v1	GCF_038448855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/448/855/GCF_038448855.1_ASM3844885v1	1313	Streptococcus pneumoniae	strain=SPEC24F	latest	Contig	2024-04-24	Pathogenic
Klebsiella pneumoniae	CPO106	NCBI	573	K. pneumoniae	GCA_030186425.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/186/425/GCA_030186425.2_NA	GCF_030186425.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/186/425/GCF_030186425.2_NA	573	Klebsiella pneumoniae	strain=CPO106	latest	Contig	2024-01-24	Pathogenic
Gardnerella vaginalis	0756_546_1_1_BHK10	ENA	2702	G. vaginalis	GCA_040427915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/427/915/GCA_040427915.1_ASM4042791v1	GCF_040427915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/427/915/GCF_040427915.1_ASM4042791v1	2702	Gardnerella vaginalis	strain=0756_546_1_1_BHK10	latest	Contig	2024-06-29	Pathogenic
Escherichia coli	Past_Mal_1	NCBI	562	E. coli	GCA_040813575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/813/575/GCA_040813575.1_ASM4081357v1	GCF_040813575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/813/575/GCF_040813575.1_ASM4081357v1	562	Escherichia coli	strain=Past_Mal_1	latest	Contig	2024-07-22	Pathogenic
Citrobacter freundii	dmcr621c	NCBI	67826	C. freundii	GCA_040326635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/326/635/GCA_040326635.1_ASM4032663v1	GCF_040326635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/326/635/GCF_040326635.1_ASM4032663v1	67826	Citrobacter sedlakii	strain=dmcr621c	latest	Contig	2024-06-25	Pathogenic
Escherichia coli	M1-JX-R253	NCBI	562	E. coli	GCA_045257885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/257/885/GCA_045257885.1_ASM4525788v1	GCF_045257885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/257/885/GCF_045257885.1_ASM4525788v1	562	Escherichia coli	strain=M1-JX-R253	latest	Scaffold	2024-11-24	Pathogenic
Escherichia coli	2017.03.02CC	NCBI	562	E. coli	GCA_036503995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/503/995/GCA_036503995.1_ASM3650399v1	GCF_036503995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/503/995/GCF_036503995.1_ASM3650399v1	562	Escherichia coli	strain=2017.03.02CC	latest	Complete Genome	2023-11-04	Pathogenic
Clostridium perfringens	CNM20231137	NCBI	1502	C. perfringens	GCA_034930645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/930/645/GCA_034930645.1_ASM3493064v1	GCF_034930645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/930/645/GCF_034930645.1_ASM3493064v1	1502	Clostridium perfringens	strain=CNM20231137	latest	Contig	2024-01-01	Pathogenic
Klebsiella pneumoniae	SNS3mu	NCBI	1463165	K. pneumoniae	GCA_035786835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/786/835/GCA_035786835.1_ASM3578683v1	GCF_035786835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/786/835/GCF_035786835.1_ASM3578683v1	1463165	Klebsiella quasipneumoniae	strain=SNS3mu	latest	Contig	2024-01-17	Pathogenic
Klebsiella pneumoniae	MRSN570244	NCBI	573	K. pneumoniae	GCA_037631025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/631/025/GCA_037631025.1_ASM3763102v1	GCF_037631025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/631/025/GCF_037631025.1_ASM3763102v1	573	Klebsiella pneumoniae	strain=MRSN570244	latest	Contig	2024-03-26	Pathogenic
Klebsiella pneumoniae	KE9682	NCBI	573	K. pneumoniae	GCA_043830435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/830/435/GCA_043830435.1_ASM4383043v1	GCF_043830435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/830/435/GCF_043830435.1_ASM4383043v1	573	Klebsiella pneumoniae	strain=KE9682	latest	Contig	2024-10-25	Pathogenic
Acinetobacter ursingii	AU126	Patric (diseases)	108980	A. ursingii	GCA_037028055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/028/055/GCA_037028055.1_ASM3702805v1	GCF_037028055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/028/055/GCF_037028055.1_ASM3702805v1	108980	Acinetobacter ursingii	strain=AU126	latest	Contig	2024-03-05	Pathogenic
Enterobacter hormaechei	CNCI 55_2023	NCBI	1812934	E. hormaechei	GCA_039655835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/655/835/GCA_039655835.1_ASM3965583v1	GCF_039655835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/655/835/GCF_039655835.1_ASM3965583v1	1812934	Enterobacter hormaechei subsp. hoffmannii	strain=CNCI 55_2023	latest	Contig	2024-05-16	Pathogenic
Escherichia coli	1.333-2022	NCBI	562	E. coli	GCA_037544825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/544/825/GCA_037544825.1_ASM3754482v1	GCF_037544825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/544/825/GCF_037544825.1_ASM3754482v1	562	Escherichia coli	strain=1.333-2022	latest	Contig	2024-03-25	Pathogenic
Neisseria perflava	27098_8_142	NCBI	33053	N. perflava	GCA_041433205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/433/205/GCA_041433205.1_ASM4143320v1	GCF_041433205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/433/205/GCF_041433205.1_ASM4143320v1	33053	Neisseria perflava	strain=27098_8_142	latest	Contig	2024-08-22	Pathogenic
Shewanella algae	FFTB-27618	NCBI	38313	S. algae	GCA_964211185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/211/185/GCA_964211185.1_FFTB_27618.1	GCF_964211185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/211/185/GCF_964211185.1_FFTB_27618.1	38313	Shewanella algae	strain=FFTB-27618	latest	Contig	2024-07-30	Pathogenic
Acinetobacter baumannii	Ab25	NCBI	106654	A. baumannii	GCA_039614705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/614/705/GCA_039614705.1_JLU_AbNoso_1.0	GCF_039614705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/614/705/GCF_039614705.1_JLU_AbNoso_1.0	106654	Acinetobacter nosocomialis	strain=Ab25	latest	Complete Genome	2024-05-13	Pathogenic
Escherichia coli	KE9536	NCBI	562	E. coli	GCA_043831725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/831/725/GCA_043831725.1_ASM4383172v1	GCF_043831725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/831/725/GCF_043831725.1_ASM4383172v1	562	Escherichia coli	strain=KE9536	latest	Contig	2024-10-25	Pathogenic
Campylobacter jejuni		NCBI	197	C. jejuni	GCA_964234015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/234/015/GCA_964234015.1_CNRERY-01525	GCF_964234015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/234/015/GCF_964234015.1_CNRERY-01525	197	Campylobacter jejuni	na	latest	Contig	2024-10-01	Pathogenic
Enterobacter ludwigii	ELB083	NCBI	299767	E. ludwigii	GCA_036710075.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/710/075/GCA_036710075.1_ASM3671007v1	GCF_036710075.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/710/075/GCF_036710075.1_ASM3671007v1	299767	Enterobacter ludwigii	strain=ELB083	latest	Contig	2024-02-20	Pathogenic
Escherichia coli	M154762	NCBI	562	E. coli	GCA_041061495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/061/495/GCA_041061495.1_ASM4106149v1	GCF_041061495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/061/495/GCF_041061495.1_ASM4106149v1	562	Escherichia coli	strain=M154762	latest	Scaffold	2024-08-05	Pathogenic
Klebsiella pneumoniae	CDK1602	NCBI	1463165	K. pneumoniae	GCA_039575365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/575/365/GCA_039575365.1_ASM3957536v1	GCF_039575365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/575/365/GCF_039575365.1_ASM3957536v1	1463165	Klebsiella quasipneumoniae	strain=CDK1602	latest	Contig	2024-05-08	Pathogenic
Acinetobacter bereziniae	ABER70	Patric (diseases)	106648	A. bereziniae	GCA_037028945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/028/945/GCA_037028945.1_ASM3702894v1	GCF_037028945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/028/945/GCF_037028945.1_ASM3702894v1	106648	Acinetobacter bereziniae	strain=ABER70	latest	Contig	2024-03-05	Pathogenic
Klebsiella oxytoca	1060_21	NCBI	1134687	K. oxytoca	GCA_026223635.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/223/635/GCA_026223635.2_ASM2622363v2	GCF_026223635.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/223/635/GCF_026223635.2_ASM2622363v2	1134687	Klebsiella michiganensis	strain=1060_21	latest	Scaffold	2024-04-10	Pathogenic
Streptococcus pyogenes	32730_U630	NCBI	1314	S. pyogenes	GCA_043497805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/497/805/GCA_043497805.1_ASM4349780v1	GCF_043497805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/497/805/GCF_043497805.1_ASM4349780v1	1314	Streptococcus pyogenes	strain=32730_U630	latest	Contig	2024-10-20	Pathogenic
Escherichia coli	Sh20181447	NCBI	623	E. coli	GCA_043679235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/679/235/GCA_043679235.1_ASM4367923v1	GCF_043679235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/679/235/GCF_043679235.1_ASM4367923v1	623	Shigella flexneri	strain=Sh20181447	latest	Scaffold	2024-10-23	Pathogenic
Bacillus cereus	Sample46	NCBI	2026186	B. cereus	GCA_036851415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/851/415/GCA_036851415.1_ASM3685141v1	GCF_036851415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/851/415/GCF_036851415.1_ASM3685141v1	2026186	Bacillus paranthracis	strain=Sample46	latest	Contig	2024-02-23	Pathogenic
Klebsiella pneumoniae	CDK7701	NCBI	1463165	K. pneumoniae	GCA_039573385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/573/385/GCA_039573385.1_ASM3957338v1	GCF_039573385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/573/385/GCF_039573385.1_ASM3957338v1	1463165	Klebsiella quasipneumoniae	strain=CDK7701	latest	Contig	2024-05-08	Pathogenic
Acinetobacter baumannii	Up280	NCBI	470	A. baumannii	GCA_042152325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/152/325/GCA_042152325.1_Up280	GCF_042152325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/152/325/GCF_042152325.1_Up280	470	Acinetobacter baumannii	strain=Up280	latest	Complete Genome	2024-09-25	Pathogenic
Streptococcus pneumoniae	3	NCBI	1313	S. pneumoniae	GCA_041403305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/403/305/GCA_041403305.1_ASM4140330v1	GCF_041403305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/403/305/GCF_041403305.1_ASM4140330v1	1313	Streptococcus pneumoniae	strain=3	latest	Scaffold	2024-08-21	Pathogenic
Klebsiella pneumoniae	Kpn6820-Lar	NCBI	573	K. pneumoniae	GCA_044070235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/070/235/GCA_044070235.1_ASM4407023v1	GCF_044070235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/070/235/GCF_044070235.1_ASM4407023v1	573	Klebsiella pneumoniae	strain=Kpn6820-Lar	latest	Contig	2024-10-29	Pathogenic
Campylobacter jejuni		NCBI	197	C. jejuni	GCA_964274835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/274/835/GCA_964274835.1_23-20913	GCF_964274835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/274/835/GCF_964274835.1_23-20913	197	Campylobacter jejuni	na	latest	Contig	2024-10-06	Pathogenic
Haemophilus influenzae	2018S05-172	NCBI	727	H. influenzae	GCA_038431875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/431/875/GCA_038431875.1_ASM3843187v1	GCF_038431875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/431/875/GCF_038431875.1_ASM3843187v1	727	Haemophilus influenzae	strain=2018S05-172	latest	Complete Genome	2024-04-25	Pathogenic
Klebsiella pneumoniae	5012/22	NCBI	573	K. pneumoniae	GCA_041807685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/807/685/GCA_041807685.1_ASM4180768v1	GCF_041807685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/807/685/GCF_041807685.1_ASM4180768v1	573	Klebsiella pneumoniae	strain=5012/22	latest	Contig	2024-09-06	Pathogenic
Klebsiella pneumoniae	MRSN613017	NCBI	573	K. pneumoniae	GCA_037630745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/630/745/GCA_037630745.1_ASM3763074v1	GCF_037630745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/630/745/GCF_037630745.1_ASM3763074v1	573	Klebsiella pneumoniae	strain=MRSN613017	latest	Contig	2024-03-26	Pathogenic
