Species_DBs	Strain_DBs	Origin DB	Reason Phenotype	Taxonomy ID	Species abb.	# assembly_accession_genbank	ftp_path_genbank	PathoPhenotype	# assembly_accession_refseq	bioproject_refseq	biosample_refseq	wgs_master_refseq	refseq_category_refseq	taxid_refseq	species_taxid_refseq	organism_name_refseq	infraspecific_name_refseq	isolate_refseq	version_status_refseq	assembly_level_refseq	release_type_refseq	genome_rep_refseq	seq_rel_date_refseq	asm_name_refseq	submitter_refseq	gbrs_paired_asm_refseq	paired_asm_comp_refseq	ftp_path_refseq	excluded_from_refseq_refseq	relation_to_type_material_refseq	asm_not_live_date_refseq	Species_Refseq	Entry	Full name	File	refseq_iden	cluster	partition	File_Embedding	Protein Count
Klebsiella michiganensis//Klebsiella oxytoca//Klebsiella oxytoca	4928STDY7071186	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	1134687.0	Klebsiella michiganensis//Klebsiella oxytoca//Klebsiella oxytoca	GCA_902166415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/415/GCA_902166415.1_25964_2_54	Pathogenic	GCF_902166415.1	PRJNA224116	SAMEA104567297		na	1134687	1134687	Klebsiella michiganensis	strain=4928STDY7071186		latest	Chromosome	Major	Full	2019/07/09	25964_2#54	SC	GCA_902166415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/415/GCF_902166415.1_25964_2_54			na	Klebsiella michiganensis	NZ_LR607342.1	Klebsiella michiganensis strain 4928STDY7071186 chromosome 1	GCF_902166415.1_25964_2_54_genomic.fna.gz 	GCF_902166415.1	55	2	GCF_902/GCF_902166415.1_25964_2_54_genomic.h5	5570
Citrobacter freundii	4928STDY7071646	ENA, Patric (diseases)	ENADB, 	546.0	C. freundii	GCA_902166445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/445/GCA_902166445.1_25426_7_361	Pathogenic	GCF_902166445.1	PRJNA224116	SAMEA104567751	CABHKF000000000.1	na	546	546	Citrobacter freundii	strain=4928STDY7071646		latest	Contig	Major	Full	2019/07/12	25426_7#361	SC	GCA_902166445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/445/GCF_902166445.1_25426_7_361			na	Citrobacter freundii	NZ_CABHKF010000001.1	Citrobacter freundii strain 4928STDY7071646, whole genome shotgun sequence	GCF_902166445.1_25426_7_361_genomic.fna.gz 	GCF_902166445.1	102	3	GCF_902/GCF_902166445.1_25426_7_361_genomic.h5	5331
Enterobacter hormaechei//Enterobacter cloacae	4928STDY7071152	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	158836.0	Enterobacter hormaechei//Enterobacter cloacae	GCA_902166485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/485/GCA_902166485.1_25964_2_28	Pathogenic	GCF_902166485.1	PRJNA224116	SAMEA104567276		na	158836	158836	Enterobacter hormaechei	strain=4928STDY7071152		latest	Chromosome	Major	Full	2019/07/09	25964_2#28	SC	GCA_902166485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/485/GCF_902166485.1_25964_2_28			na	Enterobacter hormaechei	NZ_LR607340.1	Enterobacter hormaechei strain 4928STDY7071152 chromosome 1	GCF_902166485.1_25964_2_28_genomic.fna.gz 	GCF_902166485.1	22	4	GCF_902/GCF_902166485.1_25964_2_28_genomic.h5	4630
Klebsiella pneumoniae	4928STDY7071680	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	573.0	K. pneumoniae	GCA_902166495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/495/GCA_902166495.1_25964_2_99	Pathogenic	GCF_902166495.1	PRJNA224116	SAMEA4608427		na	573	573	Klebsiella pneumoniae	strain=4928STDY7071680		latest	Chromosome	Major	Full	2019/07/09	25964_2#99	SC	GCA_902166495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/495/GCF_902166495.1_25964_2_99			na	Klebsiella pneumoniae	NZ_LR607348.1	Klebsiella pneumoniae strain 4928STDY7071680 chromosome 1	GCF_902166495.1_25964_2_99_genomic.fna.gz 	GCF_902166495.1	11	2	GCF_902/GCF_902166495.1_25964_2_99_genomic.h5	4606
Enterobacter hormaechei//Enterobacter cloacae	4928STDY7071163	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	158836.0	Enterobacter hormaechei//Enterobacter cloacae	GCA_902166535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/535/GCA_902166535.1_25964_2_37	Pathogenic	GCF_902166535.1	PRJNA224116	SAMEA104567262		na	158836	158836	Enterobacter hormaechei	strain=4928STDY7071163		latest	Chromosome	Major	Full	2019/07/09	25964_2#37	SC	GCA_902166535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/535/GCF_902166535.1_25964_2_37			na	Enterobacter hormaechei	NZ_LR607345.1	Enterobacter hormaechei strain 4928STDY7071163 chromosome 1	GCF_902166535.1_25964_2_37_genomic.fna.gz 	GCF_902166535.1	22	4	GCF_902/GCF_902166535.1_25964_2_37_genomic.h5	3904
Klebsiella variicola//Klebsiella pneumoniae//Klebsiella pneumoniae	4928STDY7387736	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	244366.0	Klebsiella variicola//Klebsiella pneumoniae//Klebsiella pneumoniae	GCA_902166565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/565/GCA_902166565.1_25964_2_250	Pathogenic	GCF_902166565.1	PRJNA224116	SAMEA104694373		na	244366	244366	Klebsiella variicola	strain=4928STDY7387736		latest	Chromosome	Major	Full	2019/07/09	25964_2#250	SC	GCA_902166565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/565/GCF_902166565.1_25964_2_250			na	Klebsiella variicola	NZ_LR607362.1	Klebsiella variicola strain 4928STDY7387736 chromosome 1	GCF_902166565.1_25964_2_250_genomic.fna.gz 	GCF_902166565.1	11	2	GCF_902/GCF_902166565.1_25964_2_250_genomic.h5	5219
Enterococcus faecalis	4928STDY7387713	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	1351.0	E. faecalis	GCA_902166695.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/695/GCA_902166695.1_25964_2_228	Pathogenic	GCF_902166695.1	PRJNA224116	SAMEA104694350		na	1351	1351	Enterococcus faecalis	strain=4928STDY7387713		latest	Chromosome	Major	Full	2019/07/09	25964_2#228	SC	GCA_902166695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/695/GCF_902166695.1_25964_2_228			na	Enterococcus faecalis	NZ_LR607361.1	Enterococcus faecalis strain 4928STDY7387713 chromosome 1	GCF_902166695.1_25964_2_228_genomic.fna.gz 	GCF_902166695.1	167	4	GCF_902/GCF_902166695.1_25964_2_228_genomic.h5	2590
Klebsiella variicola//Klebsiella pneumoniae//Klebsiella pneumoniae	4928STDY7387758	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	244366.0	Klebsiella variicola//Klebsiella pneumoniae//Klebsiella pneumoniae	GCA_902166725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/725/GCA_902166725.1_25964_2_272	Pathogenic	GCF_902166725.1	PRJNA224116	SAMEA104694395		na	244366	244366	Klebsiella variicola	strain=4928STDY7387758		latest	Chromosome	Major	Full	2019/07/09	25964_2#272	SC	GCA_902166725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/725/GCF_902166725.1_25964_2_272			na	Klebsiella variicola	NZ_LR607358.1	Klebsiella variicola strain 4928STDY7387758 chromosome 1	GCF_902166725.1_25964_2_272_genomic.fna.gz 	GCF_902166725.1	11	2	GCF_902/GCF_902166725.1_25964_2_272_genomic.h5	4916
Serratia marcescens	4928STDY7387938	NCBI, Patric (diseases)	NCBIPathogenDBB, 	615.0	S. marcescens	GCA_902166755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/755/GCA_902166755.1_26009_2_35	Pathogenic	GCF_902166755.1	PRJNA224116	SAMEA4623347		na	615	615	Serratia marcescens	strain=4928STDY7387938		latest	Chromosome	Major	Full	2019/07/09	26009_2#35	SC	GCA_902166755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/755/GCF_902166755.1_26009_2_35			na	Serratia marcescens	NZ_LR607375.1	Serratia marcescens strain 4928STDY7387938 chromosome 1	GCF_902166755.1_26009_2_35_genomic.fna.gz 	GCF_902166755.1	71	1	GCF_902/GCF_902166755.1_26009_2_35_genomic.h5	4446
Clostridium perfringens	4928STDY7387940	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	1502.0	C. perfringens	GCA_902166765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/765/GCA_902166765.1_26009_2_37	Pathogenic	GCF_902166765.1	PRJNA224116	SAMEA4623349		na	1502	1502	Clostridium perfringens	strain=4928STDY7387940		latest	Chromosome	Major	Full	2019/07/09	26009_2#37	SC	GCA_902166765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/765/GCF_902166765.1_26009_2_37			na	Clostridium perfringens	NZ_LR607374.1	Clostridium perfringens strain 4928STDY7387940 chromosome 1	GCF_902166765.1_26009_2_37_genomic.fna.gz 	GCF_902166765.1	329	5	GCF_902/GCF_902166765.1_26009_2_37_genomic.h5	2641
Clostridium perfringens	4928STDY7387880	ENA, Patric (diseases)	ENADB, 	1502.0	C. perfringens	GCA_902166825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/825/GCA_902166825.1_26009_2_12	Pathogenic	GCF_902166825.1	PRJNA224116	SAMEA4623304		na	1502	1502	Clostridium perfringens	strain=4928STDY7387880		latest	Chromosome	Major	Full	2019/07/09	26009_2#12	SC	GCA_902166825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/166/825/GCF_902166825.1_26009_2_12			na	Clostridium perfringens	NZ_LR607381.1	Clostridium perfringens strain 4928STDY7387880 chromosome 1	GCF_902166825.1_26009_2_12_genomic.fna.gz 	GCF_902166825.1	300	4	GCF_902/GCF_902166825.1_26009_2_12_genomic.h5	3654
Clostridium perfringens	Q135.2	NCBI, Patric (diseases)	NCBIPathogenDBB, 	1502.0	C. perfringens	GCA_902459425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/459/425/GCA_902459425.1_Q135.2	Pathogenic	GCF_902459425.1	PRJNA224116	SAMEA5818797	CABPRK000000000.1	na	1502	1502	Clostridium perfringens	strain=Q135.2	Clostridium perfringens	latest	Scaffold	Major	Full	2019/09/24	Q135.2	Quadram Institute Bioscience	GCA_902459425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/459/425/GCF_902459425.1_Q135.2			na	Clostridium perfringens	NZ_CABPRK010000001.1	Clostridium perfringens strain Q135.2 isolate Clostridium perfringens, whole genome shotgun sequence	GCF_902459425.1_Q135.2_genomic.fna.gz 	GCF_902459425.1	329	5	GCF_902/GCF_902459425.1_Q135.2_genomic.h5	3203
Clostridium perfringens	Q061.2	NCBI, Patric (diseases)	NCBIPathogenDBB, 	1502.0	C. perfringens	GCA_902459435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/459/435/GCA_902459435.1_Q061.2	Pathogenic	GCF_902459435.1	PRJNA224116	SAMEA5818796	CABPRL000000000.1	na	1502	1502	Clostridium perfringens	strain=Q061.2	Clostridium perfringens	latest	Scaffold	Major	Full	2019/09/24	Q061.2	Quadram Institute Bioscience	GCA_902459435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/459/435/GCF_902459435.1_Q061.2			na	Clostridium perfringens	NZ_CABPRL010000001.1	Clostridium perfringens strain Q061.2 isolate Clostridium perfringens, whole genome shotgun sequence	GCF_902459435.1_Q061.2_genomic.fna.gz 	GCF_902459435.1	329	5	GCF_902/GCF_902459435.1_Q061.2_genomic.h5	3098
Clostridium perfringens	Q041.2	NCBI, Patric (diseases)	NCBIPathogenDBB, 	1502.0	C. perfringens	GCA_902459455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/459/455/GCA_902459455.1_Q041.2	Pathogenic	GCF_902459455.1	PRJNA224116	SAMEA5818795	CABPRN000000000.1	na	1502	1502	Clostridium perfringens	strain=Q041.2	Clostridium perfringens	latest	Scaffold	Major	Full	2019/09/24	Q041.2	Quadram Institute Bioscience	GCA_902459455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/459/455/GCF_902459455.1_Q041.2			na	Clostridium perfringens	NZ_CABPRN010000001.1	Clostridium perfringens strain Q041.2 isolate Clostridium perfringens, whole genome shotgun sequence	GCF_902459455.1_Q041.2_genomic.fna.gz 	GCF_902459455.1	329	5	GCF_902/GCF_902459455.1_Q041.2_genomic.h5	3248
Escherichia coli		NCBI	NCBIPathogenDBB	562.0	E. coli	GCA_902504995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/504/995/GCA_902504995.1_V47D0	Pathogenic	GCF_902504995.1	PRJNA224116	SAMEA6058631	CABWHU000000000.1	na	562	562	Escherichia coli		Fecal samples	latest	Contig	Major	Full	2021/07/19	V47D0	UMR 1137 IAME	GCA_902504995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/504/995/GCF_902504995.1_V47D0			na	Escherichia coli	NZ_CABWHU010000001.1	Escherichia coli isolate Fecal samples, whole genome shotgun sequence	GCF_902504995.1_V47D0_genomic.fna.gz 	GCF_902504995.1	9	5	GCF_902/GCF_902504995.1_V47D0_genomic.h5	5035
Escherichia coli	//Fecal samples	NCBI, Patric (diseases)	NCBIPathogenDBB, 	562.0	E. coli	GCA_902505305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/505/305/GCA_902505305.1_FN91	Pathogenic	GCF_902505305.1	PRJNA224116	SAMEA6061895	CABWJI000000000.1	na	562	562	Escherichia coli		Fecal samples	latest	Contig	Major	Full	2019/10/15	FN91	UMR 1137 IAME	GCA_902505305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/505/305/GCF_902505305.1_FN91			na	Escherichia coli	NZ_CABWJI010000001.1	Escherichia coli isolate Fecal samples, whole genome shotgun sequence	GCF_902505305.1_FN91_genomic.fna.gz 	GCF_902505305.1	9	5	GCF_902/GCF_902505305.1_FN91_genomic.h5	4742
Escherichia coli	//Fecal samples	NCBI, Patric (diseases)	NCBIPathogenDBB, 	562.0	E. coli	GCA_902505315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/505/315/GCA_902505315.1_FN75	Pathogenic	GCF_902505315.1	PRJNA224116	SAMEA6061892	CABWJJ000000000.1	na	562	562	Escherichia coli		Fecal samples	latest	Contig	Major	Full	2019/10/15	FN75	UMR 1137 IAME	GCA_902505315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/505/315/GCF_902505315.1_FN75			na	Escherichia coli	NZ_CABWJJ010000001.1	Escherichia coli isolate Fecal samples, whole genome shotgun sequence	GCF_902505315.1_FN75_genomic.fna.gz 	GCF_902505315.1	9	5	GCF_902/GCF_902505315.1_FN75_genomic.h5	4931
Escherichia coli	//Fecal samples	NCBI, Patric (diseases)	NCBIPathogenDBB, 	562.0	E. coli	GCA_902505505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/505/505/GCA_902505505.1_FN-B4	Pathogenic	GCF_902505505.1	PRJNA224116	SAMEA6061900	CABWKD000000000.1	na	562	562	Escherichia coli		Fecal samples	latest	Contig	Major	Full	2019/10/15	FN-B4	UMR 1137 IAME	GCA_902505505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/505/505/GCF_902505505.1_FN-B4			na	Escherichia coli	NZ_CABWKD010000001.1	Escherichia coli isolate Fecal samples, whole genome shotgun sequence	GCF_902505505.1_FN-B4_genomic.fna.gz 	GCF_902505505.1	9	5	GCF_902/GCF_902505505.1_FN-B4_genomic.h5	5250
Klebsiella pneumoniae	A7	Patric (diseases)		573.0	K. pneumoniae	GCA_902506785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/506/785/GCA_902506785.1_A7	Pathogenic	GCF_902506785.1	PRJNA224116	SAMEA6099340	CABWNR000000000.1	na	573	573	Klebsiella pneumoniae	strain=A7	A7	latest	Scaffold	Major	Full	2019/12/18	A7	ZHEJIANG UNIVERSITY	GCA_902506785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/506/785/GCF_902506785.1_A7			na	Klebsiella pneumoniae	NZ_CABWNR010000001.1	Klebsiella pneumoniae strain A7 isolate A7, whole genome shotgun sequence	GCF_902506785.1_A7_genomic.fna.gz 	GCF_902506785.1	11	2	GCF_902/GCF_902506785.1_A7_genomic.h5	5148
Klebsiella pneumoniae	D7	Patric (diseases)		573.0	K. pneumoniae	GCA_902506995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/506/995/GCA_902506995.1_D7	Pathogenic	GCF_902506995.1	PRJNA224116	SAMEA6099365	CABWOT000000000.1	na	573	573	Klebsiella pneumoniae	strain=D7	D7	latest	Scaffold	Major	Full	2019/12/18	D7	ZHEJIANG UNIVERSITY	GCA_902506995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/506/995/GCF_902506995.1_D7			na	Klebsiella pneumoniae	NZ_CABWOT010000001.1	Klebsiella pneumoniae strain D7 isolate D7, whole genome shotgun sequence	GCF_902506995.1_D7_genomic.fna.gz 	GCF_902506995.1	11	2	GCF_902/GCF_902506995.1_D7_genomic.h5	5178
Klebsiella pneumoniae	F8	Patric (diseases)		573.0	K. pneumoniae	GCA_902507195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/507/195/GCA_902507195.1_F8	Pathogenic	GCF_902507195.1	PRJNA224116	SAMEA6099383	CABWPG000000000.1	na	1463165	1463165	Klebsiella quasipneumoniae	strain=F8	F8	latest	Scaffold	Major	Full	2019/12/18	F8	ZHEJIANG UNIVERSITY	GCA_902507195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/507/195/GCF_902507195.1_F8			na	Klebsiella quasipneumoniae	NZ_CABWPG010000001.1	Klebsiella quasipneumoniae strain F8 isolate F8, whole genome shotgun sequence	GCF_902507195.1_F8_genomic.fna.gz 	GCF_902507195.1	11	2	GCF_902/GCF_902507195.1_F8_genomic.h5	5210
Klebsiella pneumoniae	F2	Patric (diseases)		573.0	K. pneumoniae	GCA_902507245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/507/245/GCA_902507245.1_F2	Pathogenic	GCF_902507245.1	PRJNA224116	SAMEA6099377	CABWPC000000000.1	na	573	573	Klebsiella pneumoniae	strain=F2	F2	latest	Scaffold	Major	Full	2019/12/18	F2	ZHEJIANG UNIVERSITY	GCA_902507245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/507/245/GCF_902507245.1_F2			na	Klebsiella pneumoniae	NZ_CABWPC010000001.1	Klebsiella pneumoniae strain F2 isolate F2, whole genome shotgun sequence	GCF_902507245.1_F2_genomic.fna.gz 	GCF_902507245.1	11	2	GCF_902/GCF_902507245.1_F2_genomic.h5	5277
Klebsiella pneumoniae	SRRSH8	Patric (diseases)		573.0	K. pneumoniae	GCA_902507335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/507/335/GCA_902507335.1_SRRSH8	Pathogenic	GCF_902507335.1	PRJNA224116	SAMEA6099389	CABWPP000000000.1	na	573	573	Klebsiella pneumoniae	strain=SRRSH8	SRRSH8	latest	Scaffold	Major	Full	2019/12/18	SRRSH8	ZHEJIANG UNIVERSITY	GCA_902507335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/507/335/GCF_902507335.1_SRRSH8			na	Klebsiella pneumoniae	NZ_CABWPP010000001.1	Klebsiella pneumoniae strain SRRSH8 isolate SRRSH8, whole genome shotgun sequence	GCF_902507335.1_SRRSH8_genomic.fna.gz 	GCF_902507335.1	11	2	GCF_902/GCF_902507335.1_SRRSH8_genomic.h5	5941
Klebsiella pneumoniae	SRRSH46	Patric (diseases)		573.0	K. pneumoniae	GCA_902507465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/507/465/GCA_902507465.1_SRRSH46	Pathogenic	GCF_902507465.1	PRJNA224116	SAMEA6099419	CABWQK000000000.1	na	573	573	Klebsiella pneumoniae	strain=SRRSH46	SRRSH46	latest	Scaffold	Major	Full	2019/12/18	SRRSH46	ZHEJIANG UNIVERSITY	GCA_902507465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/507/465/GCF_902507465.1_SRRSH46			na	Klebsiella pneumoniae	NZ_CABWQK010000001.1	Klebsiella pneumoniae strain SRRSH46 isolate SRRSH46, whole genome shotgun sequence	GCF_902507465.1_SRRSH46_genomic.fna.gz 	GCF_902507465.1	11	2	GCF_902/GCF_902507465.1_SRRSH46_genomic.h5	6795
Klebsiella pneumoniae	SRRSH43	Patric (diseases)		573.0	K. pneumoniae	GCA_902507545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/507/545/GCA_902507545.1_SRRSH43	Pathogenic	GCF_902507545.1	PRJNA224116	SAMEA6099416	CABWRH000000000.1	na	573	573	Klebsiella pneumoniae	strain=SRRSH43	SRRSH43	latest	Scaffold	Major	Full	2019/12/18	SRRSH43	ZHEJIANG UNIVERSITY	GCA_902507545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/507/545/GCF_902507545.1_SRRSH43			na	Klebsiella pneumoniae	NZ_CABWRH010000001.1	Klebsiella pneumoniae strain SRRSH43 isolate SRRSH43, whole genome shotgun sequence	GCF_902507545.1_SRRSH43_genomic.fna.gz 	GCF_902507545.1	11	2	GCF_902/GCF_902507545.1_SRRSH43_genomic.h5	6413
Klebsiella pneumoniae	ZKP10	Patric (diseases)		573.0	K. pneumoniae	GCA_902507925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/507/925/GCA_902507925.1_ZKP10	Pathogenic	GCF_902507925.1	PRJNA224116	SAMEA6099455	CABWSU000000000.1	na	1463165	1463165	Klebsiella quasipneumoniae	strain=ZKP10	ZKP10	latest	Scaffold	Major	Full	2019/12/18	ZKP10	ZHEJIANG UNIVERSITY	GCA_902507925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/507/925/GCF_902507925.1_ZKP10			na	Klebsiella quasipneumoniae	NZ_CABWSU010000001.1	Klebsiella quasipneumoniae strain ZKP10 isolate ZKP10, whole genome shotgun sequence	GCF_902507925.1_ZKP10_genomic.fna.gz 	GCF_902507925.1	11	2	GCF_902/GCF_902507925.1_ZKP10_genomic.h5	5982
Klebsiella pneumoniae	ZKP9	Patric (diseases)		573.0	K. pneumoniae	GCA_902507935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/507/935/GCA_902507935.1_ZKP9	Pathogenic	GCF_902507935.1	PRJNA224116	SAMEA6099606	CABWSO000000000.1	na	573	573	Klebsiella pneumoniae	strain=ZKP9	ZKP9	latest	Scaffold	Major	Full	2019/12/18	ZKP9	ZHEJIANG UNIVERSITY	GCA_902507935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/507/935/GCF_902507935.1_ZKP9			na	Klebsiella pneumoniae	NZ_CABWSO010000001.1	Klebsiella pneumoniae strain ZKP9 isolate ZKP9, whole genome shotgun sequence	GCF_902507935.1_ZKP9_genomic.fna.gz 	GCF_902507935.1	11	2	GCF_902/GCF_902507935.1_ZKP9_genomic.h5	5777
Klebsiella pneumoniae	ZKP28	Patric (diseases)		573.0	K. pneumoniae	GCA_902507985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/507/985/GCA_902507985.1_ZKP28	Pathogenic	GCF_902507985.1	PRJNA224116	SAMEA6099556	CABWSM000000000.1	na	573	573	Klebsiella pneumoniae	strain=ZKP28	ZKP28	latest	Scaffold	Major	Full	2019/12/18	ZKP28	ZHEJIANG UNIVERSITY	GCA_902507985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/507/985/GCF_902507985.1_ZKP28			na	Klebsiella pneumoniae	NZ_CABWSM010000001.1	Klebsiella pneumoniae strain ZKP28 isolate ZKP28, whole genome shotgun sequence	GCF_902507985.1_ZKP28_genomic.fna.gz 	GCF_902507985.1	11	2	GCF_902/GCF_902507985.1_ZKP28_genomic.h5	5603
Klebsiella pneumoniae	ZKP21	Patric (diseases)		573.0	K. pneumoniae	GCA_902508015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/508/015/GCA_902508015.1_ZKP21	Pathogenic	GCF_902508015.1	PRJNA224116	SAMEA6099551	CABWSG000000000.1	na	573	573	Klebsiella pneumoniae	strain=ZKP21	ZKP21	latest	Scaffold	Major	Full	2019/12/18	ZKP21	ZHEJIANG UNIVERSITY	GCA_902508015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/508/015/GCF_902508015.1_ZKP21			na	Klebsiella pneumoniae	NZ_CABWSG010000001.1	Klebsiella pneumoniae strain ZKP21 isolate ZKP21, whole genome shotgun sequence	GCF_902508015.1_ZKP21_genomic.fna.gz 	GCF_902508015.1	11	2	GCF_902/GCF_902508015.1_ZKP21_genomic.h5	5482
Klebsiella pneumoniae	ZKP12	Patric (diseases)		573.0	K. pneumoniae	GCA_902508045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/508/045/GCA_902508045.1_ZKP12	Pathogenic	GCF_902508045.1	PRJNA224116	SAMEA6099457	CABWSI000000000.1	na	573	573	Klebsiella pneumoniae	strain=ZKP12	ZKP12	latest	Scaffold	Major	Full	2019/12/18	ZKP12	ZHEJIANG UNIVERSITY	GCA_902508045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/508/045/GCF_902508045.1_ZKP12			na	Klebsiella pneumoniae	NZ_CABWSI010000001.1	Klebsiella pneumoniae strain ZKP12 isolate ZKP12, whole genome shotgun sequence	GCF_902508045.1_ZKP12_genomic.fna.gz 	GCF_902508045.1	11	2	GCF_902/GCF_902508045.1_ZKP12_genomic.h5	5332
Klebsiella pneumoniae	ZKP11	Patric (diseases)		573.0	K. pneumoniae	GCA_902508105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/508/105/GCA_902508105.1_ZKP11	Pathogenic	GCF_902508105.1	PRJNA224116	SAMEA6099456	CABWSS000000000.1	na	573	573	Klebsiella pneumoniae	strain=ZKP11	ZKP11	latest	Scaffold	Major	Full	2019/12/18	ZKP11	ZHEJIANG UNIVERSITY	GCA_902508105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/508/105/GCF_902508105.1_ZKP11			na	Klebsiella pneumoniae	NZ_CABWSS010000001.1	Klebsiella pneumoniae strain ZKP11 isolate ZKP11, whole genome shotgun sequence	GCF_902508105.1_ZKP11_genomic.fna.gz 	GCF_902508105.1	11	2	GCF_902/GCF_902508105.1_ZKP11_genomic.h5	6246
